,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel_Pit,290.3554502369668,AGAST+SIFT
1,Gravel_Pit,241.43127962085308,AGAST+SIFT
2,Gravel_Pit,199.55450236966826,AGAST+SIFT
3,Gravel_Pit,249.2654028436019,AGAST+SIFT
4,Gravel_Pit,301.06635071090045,AGAST+SIFT
5,Gravel_Pit,328.5876777251185,AGAST+SIFT
6,Gravel_Pit,306.5165876777251,AGAST+SIFT
7,Gravel_Pit,270.87203791469193,AGAST+SIFT
8,Gravel_Pit,296.5260663507109,AGAST+SIFT
9,Gravel_Pit,231.72037914691944,AGAST+SIFT
10,Gravel_Pit,286.4028436018957,AGAST+SIFT
11,Gravel_Pit,228.83412322274881,AGAST+SIFT
12,Gravel_Pit,232.3175355450237,AGAST+SIFT
13,Gravel_Pit,251.6872037914692,AGAST+SIFT
14,Gravel_Pit,252.61611374407582,AGAST+SIFT
15,Gravel_Pit,246.91943127962085,AGAST+SIFT
16,Gravel_Pit,232.17061611374407,AGAST+SIFT
17,Gravel_Pit,202.28909952606634,AGAST+SIFT
18,Gravel_Pit,249.29383886255926,AGAST+SIFT
19,Gravel_Pit,267.74881516587675,AGAST+SIFT
20,Gravel_Pit,242.29383886255926,AGAST+SIFT
21,Gravel_Pit,299.5545023696682,AGAST+SIFT
22,Gravel_Pit,347.50710900473933,AGAST+SIFT
23,Gravel_Pit,275.4312796208531,AGAST+SIFT
24,Gravel_Pit,235.50710900473933,AGAST+SIFT
25,Gravel_Pit,285.38388625592415,AGAST+SIFT
26,Gravel_Pit,199.38862559241707,AGAST+SIFT
27,Gravel_Pit,221.09478672985782,AGAST+SIFT
28,Gravel_Pit,148.7440758293839,AGAST+SIFT
29,Gravel_Pit,377.38862559241704,AGAST+SIFT
30,Gravel_Pit,289.2654028436019,AGAST+SIFT
31,Gravel_Pit,235.0616113744076,AGAST+SIFT
32,Gravel_Pit,289.34123222748815,AGAST+SIFT
33,Gravel_Pit,230.54502369668248,AGAST+SIFT
34,Gravel_Pit,262.14218009478674,AGAST+SIFT
35,Gravel_Pit,250.521327014218,AGAST+SIFT
36,Gravel_Pit,234.95260663507108,AGAST+SIFT
37,Gravel_Pit,116.02369668246446,AGAST+SIFT
38,Gravel_Pit,219.10900473933648,AGAST+SIFT
39,Gravel_Pit,259.4739336492891,AGAST+SIFT
40,Gravel_Pit,233.71090047393366,AGAST+SIFT
41,Gravel_Pit,191.218009478673,AGAST+SIFT
42,Gravel_Pit,230.70616113744074,AGAST+SIFT
43,Gravel_Pit,123.94312796208531,AGAST+SIFT
44,Gravel_Pit,242.4170616113744,AGAST+SIFT
45,Gravel_Pit,188.17535545023696,AGAST+SIFT
46,Gravel_Pit,291.23222748815164,AGAST+SIFT
47,Gravel_Pit,188.44075829383885,AGAST+SIFT
48,Gravel_Pit,231.59241706161137,AGAST+SIFT
49,Gravel_Pit,385.53554502369667,AGAST+SIFT
50,Gravel_Pit,424.2132701421801,AGAST+SIFT
51,Gravel_Pit,440.2417061611374,AGAST+SIFT
52,Gravel_Pit,447.9478672985782,AGAST+SIFT
53,Gravel_Pit,315.82464454976304,AGAST+SIFT
54,Gravel_Pit,256.0331753554502,AGAST+SIFT
