,Dataset,Number of Keypoints,Detector/Descriptor
0,Tech_Park,272.7345132743363,AGAST+SIFT
1,Tech_Park,117.30973451327434,AGAST+SIFT
2,Tech_Park,139.3716814159292,AGAST+SIFT
3,Tech_Park,331.6814159292035,AGAST+SIFT
4,Tech_Park,214.6283185840708,AGAST+SIFT
5,Tech_Park,180.7433628318584,AGAST+SIFT
6,Tech_Park,399.4424778761062,AGAST+SIFT
7,Tech_Park,1031.9557522123894,AGAST+SIFT
8,Tech_Park,1324.212389380531,AGAST+SIFT
9,Tech_Park,1382.9734513274336,AGAST+SIFT
10,Tech_Park,1314.654867256637,AGAST+SIFT
11,Tech_Park,893.4867256637168,AGAST+SIFT
12,Tech_Park,753.566371681416,AGAST+SIFT
13,Tech_Park,770.5752212389381,AGAST+SIFT
14,Tech_Park,176.20353982300884,AGAST+SIFT
15,Tech_Park,403.86725663716817,AGAST+SIFT
16,Tech_Park,833.8849557522124,AGAST+SIFT
17,Tech_Park,1253.9646017699115,AGAST+SIFT
18,Tech_Park,1320.8407079646017,AGAST+SIFT
19,Tech_Park,1264.2300884955753,AGAST+SIFT
20,Tech_Park,768.7433628318585,AGAST+SIFT
21,Tech_Park,254.1504424778761,AGAST+SIFT
22,Tech_Park,150.20353982300884,AGAST+SIFT
23,Tech_Park,248.32743362831857,AGAST+SIFT
24,Tech_Park,303.9380530973451,AGAST+SIFT
25,Tech_Park,998.2300884955753,AGAST+SIFT
26,Tech_Park,835.29203539823,AGAST+SIFT
27,Tech_Park,155.69026548672565,AGAST+SIFT
28,Tech_Park,238.72566371681415,AGAST+SIFT
29,Tech_Park,210.94690265486724,AGAST+SIFT
30,Tech_Park,230.28318584070797,AGAST+SIFT
31,Tech_Park,433.94690265486724,AGAST+SIFT
32,Tech_Park,255.63716814159292,AGAST+SIFT
33,Tech_Park,124.03539823008849,AGAST+SIFT
34,Tech_Park,309.12389380530976,AGAST+SIFT
35,Tech_Park,185.30088495575222,AGAST+SIFT
36,Tech_Park,261.86725663716817,AGAST+SIFT
37,Tech_Park,281.2920353982301,AGAST+SIFT
38,Tech_Park,575.9026548672566,AGAST+SIFT
39,Tech_Park,936.433628318584,AGAST+SIFT
40,Tech_Park,921.8495575221239,AGAST+SIFT
41,Tech_Park,1012.1504424778761,AGAST+SIFT
42,Tech_Park,409.8938053097345,AGAST+SIFT
43,Tech_Park,266.91150442477874,AGAST+SIFT
44,Tech_Park,480.3185840707965,AGAST+SIFT
45,Tech_Park,676.5840707964602,AGAST+SIFT
46,Tech_Park,996.2300884955753,AGAST+SIFT
47,Tech_Park,952.1946902654868,AGAST+SIFT
48,Tech_Park,696.1858407079646,AGAST+SIFT
49,Tech_Park,347.76106194690266,AGAST+SIFT
50,Tech_Park,387.53982300884957,AGAST+SIFT
51,Tech_Park,475.75221238938053,AGAST+SIFT
52,Tech_Park,271.86725663716817,AGAST+SIFT
53,Tech_Park,193.18584070796462,AGAST+SIFT
54,Tech_Park,304.5221238938053,AGAST+SIFT
55,Tech_Park,345.27433628318585,AGAST+SIFT
56,Tech_Park,418.24778761061947,AGAST+SIFT
57,Tech_Park,274.8141592920354,AGAST+SIFT
58,Tech_Park,407.98230088495575,AGAST+SIFT
59,Tech_Park,315.57522123893807,AGAST+SIFT
60,Tech_Park,191.32743362831857,AGAST+SIFT
61,Tech_Park,132.58407079646017,AGAST+SIFT
62,Tech_Park,87.26548672566372,AGAST+SIFT
63,Tech_Park,201.39823008849558,AGAST+SIFT
64,Tech_Park,240.20353982300884,AGAST+SIFT
65,Tech_Park,188.91150442477877,AGAST+SIFT
66,Tech_Park,353.49557522123894,AGAST+SIFT
67,Tech_Park,442.46017699115043,AGAST+SIFT
68,Tech_Park,1064.867256637168,AGAST+SIFT
69,Tech_Park,1014.4690265486726,AGAST+SIFT
70,Tech_Park,1320.141592920354,AGAST+SIFT
71,Tech_Park,766.1238938053098,AGAST+SIFT
72,Tech_Park,1247.0530973451328,AGAST+SIFT
73,Tech_Park,1077.486725663717,AGAST+SIFT
74,Tech_Park,1384.9646017699115,AGAST+SIFT
75,Tech_Park,1290.716814159292,AGAST+SIFT
76,Tech_Park,1130.3274336283187,AGAST+SIFT
77,Tech_Park,1061.4690265486727,AGAST+SIFT
78,Tech_Park,998.70796460177,AGAST+SIFT
79,Tech_Park,695.4690265486726,AGAST+SIFT
80,Tech_Park,506.20353982300884,AGAST+SIFT
81,Tech_Park,272.2566371681416,AGAST+SIFT
82,Tech_Park,222.92920353982302,AGAST+SIFT
